n,t(n),log(n),log(n)*81197622.30670737,sqrt(n),sqrt(n)*26894505.91628739,,n*1095253.36735991,nlog(n),nlog(n)*120059.57868998,n^2,n^2*1923.97689842,n^3,n^3*3.01168277,n^4,n^4*0.00442613,n^5,n^5*6.2932242E-06,2^n,2^n*-8.65607753E-11
11,4406,3.459431619,280897622,3.31662479,89198985.05,,12047787.04,38.05374781,4568716.929,121,232801.2047,1331,4008.549767,14641,64.80299413,161051,1.01353005,2048,-1.77E-07
12,5632,3.584962501,291090431.1,3.464101615,93165301.38,,13143040.41,43.01955001,5164909.049,144,277052.6734,1728,5204.187827,20736,91.7802668,248832,1.565955563,4096,-3.55E-07
13,7204,3.700439718,300466906.6,3.605551275,96969520.11,,14238293.78,48.10571634,5775552.036,169,325152.0958,2197,6616.667046,28561,126.4147473,371293,2.336630092,8192,-7.09E-07
14,8936,3.807354922,309148166.9,3.741657387,100630026.7,,15333547.14,53.30296891,6399531.99,196,377099.4721,2744,8264.057521,38416,170.0342751,537824,3.384647011,16384,-1.42E-06
15,10882,3.906890596,317230227,3.872983346,104161973.5,,16428800.51,58.60335893,7035894.583,225,432894.8021,3375,10164.42935,50625,224.072917,759375,4.778917125,32768,-2.84E-06
16,13128,4,324790489.2,4,107578023.7,,17524053.88,64,7683813.036,256,492538.086,4096,12335.85263,65536,290.0709667,1048576,6.598923856,65536,-5.67E-06
17,15912,4.087462841,331892264,4.123105626,110888888.6,,18619307.25,69.4868683,8342564.133,289,556029.3236,4913,14796.39745,83521,369.6749452,1419857,8.935478429,131072,-1.13E-05
18,18550,4.169925001,338587995.3,4.242640687,114103725.1,,19714560.61,75.05865003,9011509.899,324,623368.5151,5832,17564.13392,104976,464.6376007,1889568,11.89147506,262144,-2.27E-05
19,21882,4.247927513,344921613.8,4.358898944,117230433.4,,20809813.98,80.71062276,9690083.364,361,694555.6603,6859,20657.13212,130321,576.8179084,2476099,15.58264614,524288,-4.54E-05
20,25558,4.321928095,350930285.1,4.472135955,120275886.9,,21905067.35,86.4385619,10377777.32,400,769590.7594,8000,24093.46216,160000,708.181071,3200000,20.13831743,1048576,-9.08E-05
22,33968,4.459431619,362095244.3,4.69041576,126146414.4,,24095574.08,98.10749561,11778744.59,484,931204.8188,10648,32068.39814,234256,1036.847906,5153632,32.43296161,4194304,-3.63E-04
24,43374,4.584962501,372288053.4,4.898979486,131755632.8,,26286080.82,110.0391,13211247.99,576,1108210.693,13824,41633.50261,331776,1468.484269,7962624,50.11057803,16777216,-1.45E-03
26,55552,4.700439718,381664528.9,5.099019514,137135610.5,,28476587.55,122.2114327,14672653.12,676,1300608.383,17576,52933.33637,456976,2022.635957,11881376,74.77216294,67108864,-5.81E-03
28,68684,4.807354922,390345789.3,5.291502622,142312348.6,,30667094.29,134.6059378,16160732.18,784,1508397.888,21952,66112.46017,614656,2720.548402,17210368,108.3087043,268435456,-0.023235981
30,85084,4.906890596,398427849.3,5.477225575,147307275.6,,32857601.02,147.2067179,17673576.53,900,1731579.209,27000,81315.43479,810000,3585.166672,24300000,152.925348,1073741824,-0.092943925
33,111178,5.044394119,409592808.5,5.744562647,154497174.1,,36143361.12,166.4650059,19985718.48,1089,2095210.842,35937,108230.8437,1185921,5249.042524,39135393,246.2878022,8589934592,-0.743551398
36,145492,5.169925001,419785617.6,6,161367035.5,,39429121.22,186.1173001,22345164.63,1296,2493474.06,46656,140513.0713,1679616,7434.201611,60466176,380.5272019,68719476736,-5.948411187
39,182804,5.285402219,429162093.1,6.244997998,167956135.6,,42714881.33,206.1306865,24747963.38,1521,2926368.862,59319,178650.0102,2313441,10239.59453,90224199,567.8011123,5.50E+11,-47.5872895
42,230746,5.392317423,437843353.5,6.480740698,174296319.1,,46000641.43,226.4773318,27190773.03,1764,3393895.249,74088,223129.5531,3111696,13772.77629,130691232,822.4692236,4.40E+12,-380.698316
46,303626,5.523561956,448500097.5,6.782329983,182407413.9,,50381654.9,254.08385,30505199.98,2116,4071135.117,97336,293145.1541,4477456,19817.80991,205962976,1296.171184,7.04E+13,-6091.173055
50,384204,5.64385619,458267703.3,7.071067812,190172875.1,,54762668.37,282.1928095,33879949.82,2500,4809942.246,125000,376460.3463,6250000,27663.32309,312500000,1966.632562,1.13E+15,-97458.76889
55,513920,5.781359714,469432662.4,7.416198487,199454994.1,,60238935.2,317.9747842,38175918.63,3025,5820030.118,166375,501068.7209,9150625,40501.87133,503284375,3167.281407,3.60E+16,-3118680.604
60,669128,5.906890596,479625471.6,7.745966692,208323947,,65715202.04,354.4134357,42550727.78,3600,6926316.834,216000,650523.4783,12960000,57362.66675,777600000,4893.611136,1.15E+18,-99797779.34
66,881518,6.044394119,490790430.8,8.124038405,218491998.9,,72286722.25,398.9300119,47895369.15,4356,8380843.37,287496,865846.7497,18974736,83984.68039,1252332576,7881.209671,7.38E+19,-6387057878
72,1143014,6.169925001,500983239.9,8.485281374,228207450.1,,78858242.45,444.2346001,53334618.93,5184,9973896.241,373248,1124104.571,26873856,118947.2258,1934917632,12176.87046,4.72E+21,-4.08772E+11
79,1508874,6.303780748,511852008.3,8.888194417,239043597.3,,86525016.02,497.9986791,59789511.6,6241,12007539.82,493039,1484877.061,38950081,172398.188,3077056399,19364.60579,6.04E+23,-5.23E+13
