n,t(n),log(n),log(n)*2.65925526e+08,sqrt(n),sqrt(n)*87940502.47843635,,n*3578106.90419061,nlog(n),nlog(n)*392364.10607884,n^2,n^2*6328.4944936,n^3,n^3*9.99019234,2^n,2^n*-2.77764464e-10
11,14601,3.459431619,919951172.8,3.31662479,291665650.6,,39359175.95,38.05374781,14930924.74,121,765747.8337,1331,13296.946,2048,-5.69E-07
12,17965,3.584962501,953333038.7,3.464101615,304634836.7,,42937282.85,43.01955001,16879327.28,144,911303.2071,1728,17263.05236,4096,-1.14E-06
13,24031,3.700439718,984041378.5,3.605551275,317073990.9,,46515389.75,48.10571634,18874956.39,169,1069515.569,2197,21948.45257,8192,-2.28E-06
14,29771,3.807354922,1012472860,3.741657387,329043230.7,,50093496.66,53.30296891,20914171.75,196,1240384.921,2744,27413.08778,16384,-4.55E-06
15,34453,3.906890596,1038941937,3.872983346,340592101.6,,53671603.56,58.60335893,22993854.54,225,1423911.261,3375,33716.89915,32768,-9.10E-06
16,35153,4,1063702104,4,351762009.9,,57249710.47,64,25111302.79,256,1620094.59,4096,40919.82782,65536,-1.82E-05
17,53721,4.087462841,1086960706,4.123105626,362587980.5,,60827817.37,69.4868683,27264152.97,289,1828934.909,4913,49081.81497,131072,-3.64E-05
18,51445,4.169925001,1108889499,4.242640687,373099953.9,,64405924.28,75.05865003,29450320.12,324,2050432.216,5832,58262.80173,262144,-7.28E-05
19,62921,4.247927513,1129632358,4.358898944,383323763.3,,67984031.18,80.71062276,31667951.35,361,2284586.512,6859,68522.72926,524288,-0.000145629
20,74603,4.321928095,1149311002,4.472135955,393281883,,71562138.08,86.4385619,33915389.07,400,2531397.797,8000,79921.53872,1048576,-0.000291257
22,114681,4.459431619,1185876699,4.69041576,412477518.8,,78718351.89,98.10749561,38493859.81,484,3062991.335,10648,106375.568,4194304,-0.001165029
24,143125,4.584962501,1219258565,4.898979486,430818717.6,,85874565.7,110.0391,43175393.11,576,3645212.828,13824,138104.4189,16777216,-0.004660114
26,183317,4.700439718,1249966904,5.099019514,448410338.2,,93030779.51,122.2114327,47951379.53,676,4278062.278,17576,175587.6206,67108864,-0.018640458
28,231425,4.807354922,1278398386,5.291502622,465337399.5,,100186993.3,134.6059378,52814538.46,784,4961539.683,21952,219304.7022,268435456,-0.074561831
30,283525,4.906890596,1304867463,5.477225575,481669969.3,,107343207.1,147.2067179,57758632.27,900,5695645.044,27000,269735.1932,1073741824,-0.298247322
33,380323,5.044394119,1341433160,5.744562647,505179725.7,,118077527.8,166.4650059,65314893.25,1089,6891730.504,35937,359017.5421,8589934592,-2.385978578
36,486157,5.169925001,1374815025,6,527643014.9,,128811848.6,186.1173001,73025748.06,1296,8201728.864,46656,466102.4138,68719476736,-19.08782862
39,629845,5.285402219,1405523365,6.244997998,549188262,,139546169.3,206.1306865,80878282.56,1521,9625640.125,59319,592608.2194,5.50E+11,-152.702629
42,746965,5.392317423,1433954847,6.480740698,569919593.5,,150280490,226.4773318,88861575.82,1764,11163464.29,74088,740153.3701,4.40E+12,-1221.621032
46,916289,5.523561956,1468856119,6.782329983,596441506.7,,164592917.6,254.08385,99693382.67,2116,13391094.35,97336,972405.3616,7.04E+13,-19545.93651
50,1301647,5.64385619,1500845426,7.071067812,621833256.4,,178905345.2,282.1928095,110722329.4,2500,15821236.23,125000,1248774.043,1.13E+15,-312734.9841
55,1700069,5.781359714,1537411123,7.416198487,652184221.4,,196795879.7,317.9747842,124761892,3025,19143695.84,166375,1662118.251,3.60E+16,-10007519.49
60,2229523,5.906890596,1570792989,7.745966692,681184203.1,,214686414.3,354.4134357,139059110.9,3600,22782580.18,216000,2157881.545,1.15E+18,-320240623.8
