n,t(n),log(n),log(n)*327262.58116673,sqrt(n),sqrt(n)*102979.60732002,,n*4001.71332608,nlog(n),nlog(n)*433.23865137,n^2,n^2*6.59930164,n^3,n^3*0.00994751,n^4,n^4*1.42444652E-05,n^5,n^5*1.98688978E-08,2^n,2^n*-3.58544121E-13
11,1080,3.459431619,1132142.521,3.31662479,341544.7185,,44018.84659,38.05374781,16486.35438,121,798.5154989,1331,13.24013608,14641,0.208553215,161051,0.003199905854,2048,7.34E-10
12,1264,3.584962501,1173224.081,3.464101615,356731.824,,48020.55991,43.01955001,18637.73183,144,950.2994368,1728,17.18929762,20736,0.2953732304,248832,0.004944017569,4096,-1.47E-09
13,1464,3.700439718,1211015.454,3.605551275,371298.2545,,52022.27324,48.10571634,20841.25567,169,1115.281978,2197,21.85467991,28561,0.4068361706,371293,0.007377182659,8192,-2.94E-09
14,1680,3.807354922,1246004.799,3.741657387,385314.4084,,56023.98657,53.30296891,23092.90636,196,1293.463122,2744,27.29596799,38416,0.5472153752,537824,0.01068597007,16384,-5.87E-09
15,1912,3.906890596,1278579.101,3.872983346,398838.3041,,60025.69989,58.60335893,25389.24019,225,1484.84287,3375,33.57284692,50625,0.7211260508,759375,0.01508794424,32768,-1.17E-08
16,2160,4,1309050.325,4,411918.4293,,64027.41322,64,27727.27369,256,1689.421221,4096,40.74500178,65536,0.9335252715,1048576,0.02083404934,65536,-2.35E-08
17,2424,4.087462841,1337673.64,4.123105626,424595.7983,,68029.12654,69.4868683,30104.39711,289,1907.198175,4913,48.87211761,83521,1.189711978,1419857,0.02821099358,131072,-4.70E-08
18,2704,4.169925001,1364660.419,4.242640687,436905.472,,72030.83987,75.05865003,32518.30831,324,2138.173733,5832,58.01387948,104976,1.495326979,1889568,0.03754363342,262144,-9.40E-08
19,3000,4.247927513,1390187.723,4.358898944,448877.7016,,76032.5532,80.71062276,34966.96135,361,2382.347894,6859,68.22997246,130321,1.85635295,2476099,0.04919735789,524288,-1.88E-07
20,3312,4.321928095,1414405.344,4.472135955,460538.8045,,80034.26652,86.4385619,37448.52598,400,2639.720658,8000,79.58008159,160000,2.279114432,3200000,0.06358047285,1048576,-3.76E-07
