n,t(n),,f(n) = log(n),,f(n) = sqrt(n),,f(n) = n,,f(n) = n*log(n),,f(n) = n**2,,f(n) = n**3,
,,,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error,f(n)*x,squared_error
11,0.011,,707.6585886,500765.1096,224.8390816,50547.66628,30.37894475,922.2120683,11.52101455,132.4804349,0.58706054,0.331845746,0.010103798,8.03E-07
12,0.014,,733.3370863,537762.7489,234.8367618,55141.72944,33.140667,1097.376067,13.0244428,169.2716218,0.69865056,0.468746389,0.013117478,7.79E-07
13,0.018,,756.9590143,572959.6991,244.4258512,59735.19773,35.90238925,1287.689392,14.56431205,211.5951944,0.81994406,0.643114275,0.01667772,1.75E-06
14,0.022,,778.8295036,606541.1277,253.6526932,64328.52855,38.6641115,1493.212781,16.13781338,259.7194408,0.95094104,0.862931456,0.02083007,1.37E-06
15,0.027,,799.1904421,638662.2071,262.5554815,68921.20358,41.42583375,1713.863436,17.74254022,313.8403653,1.0916415,1.133461524,0.025620075,1.90E-06
16,0.038,,818.236828,669449.3221,271.1661352,73510.46572,44.187556,1949.183295,19.37640768,373.9740116,1.24204544,1.449725422,0.031093282,4.77E-05
17,0.052,,836.1281574,699023.3411,279.5116544,78097.69845,46.94927825,2199.354707,21.03759201,440.395072,1.40215286,1.822912745,0.037295238,0.00021623
18,0.038,,852.9965515,727538.2907,287.6151196,82700.59971,49.7110005,2467.406979,22.72448442,514.6765753,1.57196376,2.353044817,0.044271489,3.93E-05
19,0.06,,868.9526835,754974.4955,295.4964451,87282.6931,52.47272275,2747.093506,24.43565517,594.1725648,1.75147814,2.861098298,0.052067583,6.29E-05
20,0.073,,884.0901838,781486.3813,303.1729558,91869.5832,55.234445,3042.785014,26.16982523,681.044287,1.940696,3.488288348,0.060729066,0.000150576
22,0.091,,912.2177956,831975.2912,317.9704786,101047.3629,60.7578895,3680.471482,29.70266924,876.8509552,2.34824216,5.095142169,0.080830387,0.000103421
24,0.145,,937.8962933,879377.488,332.1093334,110200.3187,66.281334,4374.014675,33.31503848,1100.251453,2.79460224,7.02039203,0.104939826,0.001604818
